GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,AvgMatrixQueryTime_ms,AvgListQueryTime_ms,Algorithm
g_200_Medium_1,200,4975,19900,Medium,0.25,1.0348329997214023,0.049500000386615284,0.00011337500018271385,0.00015083349990163697,has_edge
g_200_Medium_2,200,4975,19900,Medium,0.25,1.1568749996513361,0.05308300023898482,0.00012202100060676457,0.00015870849983912194,has_edge
g_200_Medium_3,200,4975,19900,Medium,0.25,1.1094580004282761,0.04962499951943755,0.00012762499954988016,0.00016891699942789273,has_edge
g_200_Medium_4,200,4975,19900,Medium,0.25,1.0543749995122198,0.04383300074550789,0.00010933350040431833,0.00016066700027295155,has_edge
g_200_Medium_5,200,4975,19900,Medium,0.25,1.1661250009638024,0.05375000000640284,0.00011241650008741999,0.00016929199955484364,has_edge
g_200_Dense_1,200,11940,19900,Dense,0.6,2.6594160008244216,0.10420800026622601,0.00013162499999452848,0.00031656250030209776,has_edge
g_200_Dense_2,200,11940,19900,Dense,0.6,2.6353329994890373,0.0731250001990702,0.00012243750006746268,0.00028227050006535137,has_edge
g_200_Dense_3,200,11940,19900,Dense,0.6,2.476125000612228,0.0653750012133969,0.00011922900011995807,0.00027112499992654193,has_edge
g_200_Dense_4,200,11940,19900,Dense,0.6,2.65491600112,0.07029100015643053,0.00011749999976018444,0.0002777500003503519,has_edge
g_200_Dense_5,200,11940,19900,Dense,0.6,2.530042000216781,0.061624999943887815,0.00011337500018271385,0.0003617080001276918,has_edge
g_500_Sparse_1,500,6237,124750,Sparse,0.04999599198396794,1.5186669988906942,0.13108299935993273,0.00015283349966921378,0.0001894999995784019,has_edge
g_500_Sparse_2,500,6237,124750,Sparse,0.04999599198396794,1.540291999845067,0.1258749998669373,0.00015760449969093315,0.0001750210003592656,has_edge
g_500_Sparse_3,500,6237,124750,Sparse,0.04999599198396794,1.5277080001396826,0.18312499923922587,0.0001597085001776577,0.0001760420000209706,has_edge
