GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,AvgMatrixDFSTime_ms,AvgListDFSTime_ms,Algorithm
g_dfs_50_Dense_4,50,735,1225,Dense,0.6,0.19854099991789553,0.07891699897299986,0.13866639965272043,0.01158339982794132,DFS
g_dfs_50_Dense_5,50,735,1225,Dense,0.6,0.16720799976610579,0.008167000487446785,0.13334180039237253,0.01154140045400709,DFS
g_dfs_100_Sparse_1,100,247,4950,Sparse,0.0498989898989899,0.11791699944296852,0.01766700006555766,0.5325913996784948,0.009783200584934093,DFS
g_dfs_100_Sparse_2,100,247,4950,Sparse,0.0498989898989899,0.0963749989750795,0.012415999663062394,0.5116830001497874,0.010241799827781506,DFS
g_dfs_100_Sparse_3,100,247,4950,Sparse,0.0498989898989899,0.07920799907878973,0.011000000085914508,0.5072745996585581,0.010158000441151671,DFS
g_dfs_100_Sparse_4,100,247,4950,Sparse,0.0498989898989899,0.07991599886736367,0.010707999535952695,0.544383400483639,0.011641799937933683,DFS
g_dfs_100_Sparse_5,100,247,4950,Sparse,0.0498989898989899,0.10850000035134144,0.012957998478668742,0.5198081998969428,0.00961680016189348,DFS
g_dfs_100_Medium_1,100,1237,4950,Medium,0.2498989898989899,0.28929200016136747,0.0167500002135057,0.544792199798394,0.022541799626196735,DFS
g_dfs_100_Medium_2,100,1237,4950,Medium,0.2498989898989899,0.2995000013470417,0.016208001397899352,0.5433168003946776,0.024416199812549166,DFS
g_dfs_100_Medium_3,100,1237,4950,Medium,0.2498989898989899,0.28133299929322675,0.014790999557590112,0.5186581998714246,0.02008320007007569,DFS
g_dfs_100_Medium_4,100,1237,4950,Medium,0.2498989898989899,0.2931670005636988,0.016917001630645245,0.5916835998505121,0.021691600341000594,DFS
g_dfs_100_Medium_5,100,1237,4950,Medium,0.2498989898989899,0.27983399922959507,0.014834000467089936,0.5233413994574221,0.02049999966402538,DFS
g_dfs_100_Dense_1,100,2970,4950,Dense,0.6,0.6875420003780164,0.03575000118871685,0.5768335999164265,0.04279979984858073,DFS
g_dfs_100_Dense_2,100,2970,4950,Dense,0.6,0.66191699988849,0.027209000108996406,0.5986084001051495,0.04057499972986989,DFS
g_dfs_100_Dense_3,100,2970,4950,Dense,0.6,0.653582999802893,0.028249998649698682,0.6000913999741897,0.05632519969367422,DFS
g_dfs_100_Dense_4,100,2970,4950,Dense,0.6,0.6567920008819783,0.026707999495556578,0.5645752000418724,0.04001679990324192,DFS
g_dfs_100_Dense_5,100,2970,4950,Dense,0.6,0.6554580013471423,0.024625000150990672,0.6367917998431949,0.04749180006911047,DFS
g_dfs_200_Sparse_1,200,995,19900,Sparse,0.05,0.2733750006882474,0.026792000426212326,2.1339082002668874,0.0272166002105223,DFS
g_dfs_200_Sparse_2,200,995,19900,Sparse,0.05,0.2612079988466576,0.029582999559352174,2.0977001997380285,0.028208000730955973,DFS
g_dfs_200_Sparse_3,200,995,19900,Sparse,0.05,0.2729170009843074,0.03212500087101944,2.1417665997432778,0.02429999949526973,DFS
g_dfs_200_Sparse_4,200,995,19900,Sparse,0.05,0.2835830000549322,0.072750000981614,2.1178583996515954,0.024733200552873313,DFS
g_dfs_200_Sparse_5,200,995,19900,Sparse,0.05,0.255375000051572,0.026041998353321105,2.1071583996672416,0.025350000214530155,DFS
g_dfs_200_Medium_1,200,4975,19900,Medium,0.25,1.1660830004984746,0.05841699930897448,2.171683199776453,0.07999999979801942,DFS
g_dfs_200_Medium_2,200,4975,19900,Medium,0.25,1.1337079995428212,0.04708400047093164,2.1298250001564156,0.07327519961108919,DFS
g_dfs_200_Medium_3,200,4975,19900,Medium,0.25,1.1231250009586802,0.04537499989964999,2.1973581995553104,0.07458320069417823,DFS
