GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,Matrix_Exec_Time_ms,List_Exec_Time_ms,Algorithm,Algorithm_Name,Algorithm_Type_Code,Best_Representation
g_bfs_200_Dense_3,200,11940.0,19900.0,Dense,0.6,2.9147920013201656,0.0849999996717087,2.228874799766345,0.159966800129041,BFS,BFS,0,1
g_bfs_200_Dense_4,200,11940.0,19900.0,Dense,0.6,2.6408749999973224,0.066000000515487,2.333382999859168,0.1628415997402044,BFS,BFS,0,1
g_bfs_200_Dense_5,200,11940.0,19900.0,Dense,0.6,2.530542000386049,0.0685830000293208,2.3141836009017425,0.1615083994693122,BFS,BFS,0,1
g_bfs_500_Sparse_1,500,6237.0,124750.0,Sparse,0.0499959919839679,1.5293750002456363,0.1362080001854337,13.9161917999445,0.1575749993207864,BFS,BFS,0,1
g_bfs_500_Sparse_2,500,6237.0,124750.0,Sparse,0.0499959919839679,1.590375000887434,0.140583000757033,13.954308000393212,0.1476666006055893,BFS,BFS,0,1
g_bfs_500_Sparse_3,500,6237.0,124750.0,Sparse,0.0499959919839679,1.52041599903896,1.1201250017620623,13.965500199992675,0.157041399506852,BFS,BFS,0,1
g_bfs_500_Sparse_4,500,6237.0,124750.0,Sparse,0.0499959919839679,1.5229580003506271,0.1272919998882571,13.966482999603612,0.1558582003781339,BFS,BFS,0,1
g_bfs_500_Sparse_5,500,6237.0,124750.0,Sparse,0.0499959919839679,1.742667000144138,0.2078329998767003,13.863716400010162,0.1492997998866485,BFS,BFS,0,1
g_bfs_500_Medium_1,500,31187.0,124750.0,Medium,0.2499959919839679,7.31883300068148,0.466707999294158,14.442799799871864,0.6603999998333165,BFS,BFS,0,1
g_bfs_500_Medium_2,500,31187.0,124750.0,Medium,0.2499959919839679,7.348541999817826,0.4684169998654397,14.44585020035447,0.6770332001906354,BFS,BFS,0,1
g_bfs_500_Medium_3,500,31187.0,124750.0,Medium,0.2499959919839679,7.272458000443294,0.4693329992733197,14.539899800001876,0.6487833998107817,BFS,BFS,0,1
g_bfs_500_Medium_4,500,31187.0,124750.0,Medium,0.2499959919839679,7.1553329999005655,0.4669999998441199,14.387550199899124,0.6608584000787232,BFS,BFS,0,1
g_bfs_500_Medium_5,500,31187.0,124750.0,Medium,0.2499959919839679,7.296083000255749,0.4762500011565862,14.39607519969286,0.6652163992839633,BFS,BFS,0,1
